scenario_id,incident_id,start_time,detection_time,end_time,severity,blast_radius,propagation_depth
scen_000050,inc_scen_000050_01,2026-09-01T00:05:00Z,2026-09-01T00:06:54Z,2026-09-01T00:18:00Z,high,7,2
scen_000051,inc_scen_000051_01,2026-09-01T00:05:00Z,2026-09-01T00:06:38Z,2026-09-01T00:22:00Z,critical,1,0
scen_000052,inc_scen_000052_01,2026-09-01T00:05:00Z,2026-09-01T00:05:56Z,2026-09-01T00:17:00Z,medium,28,3
scen_000053,inc_scen_000053_01,2026-09-01T00:05:00Z,2026-09-01T00:05:16Z,2026-09-01T00:21:00Z,low,2,1
scen_000054,inc_scen_000054_01,2026-09-01T00:05:00Z,2026-09-01T00:06:32Z,2026-09-01T00:16:00Z,medium,2,1
scen_000057,inc_scen_000057_01,2026-09-01T00:05:00Z,2026-09-01T00:06:06Z,2026-09-01T00:17:00Z,low,2,1
scen_000058,inc_scen_000058_01,2026-09-01T00:05:00Z,2026-09-01T00:06:54Z,2026-09-01T00:23:00Z,medium,2,1
scen_000060,inc_scen_000060_01,2026-09-01T00:05:00Z,2026-09-01T00:06:38Z,2026-09-01T00:20:00Z,high,2,1
scen_000060,inc_scen_000060_02,2026-09-01T00:08:35Z,2026-09-01T00:10:30Z,2026-09-01T00:26:35Z,medium,2,1
scen_000061,inc_scen_000061_01,2026-09-01T00:05:00Z,2026-09-01T00:06:56Z,2026-09-01T00:15:00Z,high,2,1
scen_000062,inc_scen_000062_01,2026-09-01T00:05:00Z,2026-09-01T00:06:38Z,2026-09-01T00:18:00Z,high,13,4
scen_000065,inc_scen_000065_01,2026-09-01T00:05:00Z,2026-09-01T00:06:03Z,2026-09-01T00:23:00Z,high,2,1
scen_000066,inc_scen_000066_01,2026-09-01T00:05:00Z,2026-09-01T00:05:55Z,2026-09-01T00:20:00Z,critical,7,5
scen_000067,inc_scen_000067_01,2026-09-01T00:05:00Z,2026-09-01T00:06:19Z,2026-09-01T00:25:00Z,low,1,0
scen_000068,inc_scen_000068_01,2026-09-01T00:05:00Z,2026-09-01T00:05:19Z,2026-09-01T00:17:00Z,low,2,1
scen_000069,inc_scen_000069_01,2026-09-01T00:05:00Z,2026-09-01T00:06:15Z,2026-09-01T00:24:00Z,critical,2,1
scen_000070,inc_scen_000070_01,2026-09-01T00:05:00Z,2026-09-01T00:06:24Z,2026-09-01T00:15:00Z,low,2,1
scen_000071,inc_scen_000071_01,2026-09-01T00:05:00Z,2026-09-01T00:06:51Z,2026-09-01T00:23:00Z,critical,19,5
scen_000072,inc_scen_000072_01,2026-09-01T00:05:00Z,2026-09-01T00:06:28Z,2026-09-01T00:21:00Z,high,2,1
scen_000074,inc_scen_000074_01,2026-09-01T00:05:00Z,2026-09-01T00:06:34Z,2026-09-01T00:22:00Z,medium,2,1
scen_000075,inc_scen_000075_01,2026-09-01T00:05:00Z,2026-09-01T00:06:24Z,2026-09-01T00:19:00Z,low,2,1
scen_000076,inc_scen_000076_01,2026-09-01T00:05:00Z,2026-09-01T00:06:13Z,2026-09-01T00:25:00Z,critical,2,1
scen_000077,inc_scen_000077_01,2026-09-01T00:05:00Z,2026-09-01T00:05:15Z,2026-09-01T00:20:00Z,critical,8,2
scen_000078,inc_scen_000078_01,2026-09-01T00:05:00Z,2026-09-01T00:05:39Z,2026-09-01T00:25:00Z,low,2,1
scen_000079,inc_scen_000079_01,2026-09-01T00:05:00Z,2026-09-01T00:06:19Z,2026-09-01T00:16:00Z,critical,10,5
scen_000082,inc_scen_000082_01,2026-09-01T00:05:00Z,2026-09-01T00:05:18Z,2026-09-01T00:15:00Z,medium,1,0
scen_000082,inc_scen_000082_02,2026-09-01T00:07:14Z,2026-09-01T00:07:32Z,2026-09-01T00:17:14Z,critical,29,5
scen_000083,inc_scen_000083_01,2026-09-01T00:05:00Z,2026-09-01T00:06:40Z,2026-09-01T00:25:00Z,low,2,1
scen_000084,inc_scen_000084_01,2026-09-01T00:05:00Z,2026-09-01T00:05:57Z,2026-09-01T00:25:00Z,medium,2,1
scen_000085,inc_scen_000085_01,2026-09-01T00:05:00Z,2026-09-01T00:05:43Z,2026-09-01T00:17:00Z,medium,2,1
scen_000086,inc_scen_000086_01,2026-09-01T00:05:00Z,2026-09-01T00:05:35Z,2026-09-01T00:15:00Z,medium,2,1
scen_000087,inc_scen_000087_01,2026-09-01T00:05:00Z,2026-09-01T00:06:01Z,2026-09-01T00:21:00Z,critical,2,1
scen_000089,inc_scen_000089_01,2026-09-01T00:05:00Z,2026-09-01T00:06:18Z,2026-09-01T00:25:00Z,high,5,3
scen_000091,inc_scen_000091_01,2026-09-01T00:05:00Z,2026-09-01T00:05:29Z,2026-09-01T00:19:00Z,low,2,1
scen_000092,inc_scen_000092_01,2026-09-01T00:05:00Z,2026-09-01T00:06:06Z,2026-09-01T00:24:00Z,medium,2,1
scen_000093,inc_scen_000093_01,2026-09-01T00:05:00Z,2026-09-01T00:06:10Z,2026-09-01T00:20:00Z,medium,2,1
scen_000095,inc_scen_000095_01,2026-09-01T00:05:00Z,2026-09-01T00:05:59Z,2026-09-01T00:21:00Z,critical,3,1
scen_000095,inc_scen_000095_02,2026-09-01T00:09:52Z,2026-09-01T00:10:59Z,2026-09-01T00:26:52Z,medium,40,5
scen_000096,inc_scen_000096_01,2026-09-01T00:05:00Z,2026-09-01T00:06:50Z,2026-09-01T00:18:00Z,high,2,1
scen_000097,inc_scen_000097_01,2026-09-01T00:05:00Z,2026-09-01T00:06:49Z,2026-09-01T00:16:00Z,low,14,5
scen_000097,inc_scen_000097_02,2026-09-01T00:09:16Z,2026-09-01T00:10:31Z,2026-09-01T00:26:16Z,low,34,5
scen_000098,inc_scen_000098_01,2026-09-01T00:05:00Z,2026-09-01T00:06:38Z,2026-09-01T00:16:00Z,medium,2,1
scen_000099,inc_scen_000099_01,2026-09-01T00:05:00Z,2026-09-01T00:05:55Z,2026-09-01T00:15:00Z,high,2,1
