node_id,node_type,service_name,environment,region,zone,host_id,container_id,version,cpu_capacity,memory_capacity,replica_count,criticality,scenario_id,topology_id
sub_svc_19,web_service,sub_service_19,production,ap-southeast-1,ap-southeast-1c,host-449,ct-3558,v2.6.0,8.0,64.0,4,low,scen_000001,top_0001
sub_svc_20,web_service,sub_service_20,production,ap-southeast-1,ap-southeast-1c,host-676,ct-6527,v2.7.0,4.0,32.0,3,low,scen_000001,top_0001
sub_svc_21,web_service,sub_service_21,production,ap-southeast-1,ap-southeast-1c,host-328,ct-7443,v1.8.0,8.0,32.0,3,low,scen_000001,top_0001
sub_svc_22,web_service,sub_service_22,production,ap-southeast-1,ap-southeast-1a,host-533,ct-5010,v2.4.0,8.0,32.0,4,low,scen_000001,top_0001
sub_svc_23,web_service,sub_service_23,production,ap-southeast-1,ap-southeast-1a,host-298,ct-7198,v2.2.0,4.0,64.0,4,low,scen_000001,top_0001
sub_svc_24,web_service,sub_service_24,production,ap-southeast-1,ap-southeast-1a,host-452,ct-4926,v3.7.0,16.0,64.0,3,low,scen_000001,top_0001
sub_svc_25,web_service,sub_service_25,production,ap-southeast-1,ap-southeast-1b,host-452,ct-2010,v1.6.0,2.0,32.0,4,low,scen_000001,top_0001
sub_svc_26,web_service,sub_service_26,production,ap-southeast-1,ap-southeast-1c,host-181,ct-3000,v3.5.0,4.0,64.0,1,low,scen_000001,top_0001
sub_svc_27,web_service,sub_service_27,production,ap-southeast-1,ap-southeast-1c,host-203,ct-9836,v1.5.0,4.0,64.0,2,low,scen_000001,top_0001
sub_svc_28,web_service,sub_service_28,production,ap-southeast-1,ap-southeast-1b,host-122,ct-3977,v2.8.0,16.0,8.0,5,low,scen_000001,top_0001
sub_svc_29,web_service,sub_service_29,production,ap-southeast-1,ap-southeast-1b,host-845,ct-6292,v1.4.0,16.0,4.0,4,low,scen_000001,top_0001
sub_svc_30,web_service,sub_service_30,production,ap-southeast-1,ap-southeast-1a,host-133,ct-2264,v2.4.0,16.0,64.0,3,low,scen_000001,top_0001
sub_svc_31,web_service,sub_service_31,production,ap-southeast-1,ap-southeast-1c,host-112,ct-8235,v1.5.0,4.0,64.0,1,low,scen_000001,top_0001
node_00,payment_service,mesh_svc_0,production,us-east-1,us-east-1b,host-913,ct-6715,v1.5.0,16.0,64.0,4,low,scen_000002,top_0002
node_01,auth_service,mesh_svc_1,production,us-east-1,us-east-1c,host-839,ct-9657,v3.4.0,4.0,32.0,2,high,scen_000002,top_0002
node_02,vm_instance,mesh_svc_2,production,us-east-1,us-east-1c,host-738,ct-1670,v3.4.0,16.0,64.0,4,high,scen_000002,top_0002
node_03,elasticsearch,mesh_svc_3,production,us-east-1,us-east-1c,host-464,ct-1503,v2.0.0,16.0,8.0,4,high,scen_000002,top_0002
node_04,load_balancer,mesh_svc_4,production,us-east-1,us-east-1a,host-516,ct-7066,v1.2.0,2.0,16.0,1,low,scen_000002,top_0002
node_05,auth_service,mesh_svc_5,production,us-east-1,us-east-1b,host-236,ct-7670,v2.8.0,4.0,64.0,1,critical,scen_000002,top_0002
node_06,vm_instance,mesh_svc_6,production,us-east-1,us-east-1a,host-363,ct-2747,v3.4.0,8.0,4.0,2,medium,scen_000002,top_0002
node_07,postgresql,mesh_svc_7,production,us-east-1,us-east-1a,host-472,ct-1311,v3.7.0,4.0,16.0,5,low,scen_000002,top_0002
node_08,redis,mesh_svc_8,production,us-east-1,us-east-1b,host-700,ct-7346,v1.7.0,8.0,8.0,5,critical,scen_000002,top_0002
node_09,auth_service,mesh_svc_9,production,us-east-1,us-east-1b,host-142,ct-2641,v3.0.0,16.0,16.0,3,medium,scen_000002,top_0002
node_10,vm_instance,mesh_svc_10,production,us-east-1,us-east-1c,host-944,ct-6042,v2.0.0,16.0,32.0,5,medium,scen_000002,top_0002
node_11,auth_service,mesh_svc_11,production,us-east-1,us-east-1b,host-593,ct-2227,v3.8.0,4.0,32.0,2,medium,scen_000002,top_0002
node_12,container,mesh_svc_12,production,us-east-1,us-east-1c,host-301,ct-9387,v3.8.0,4.0,64.0,2,medium,scen_000002,top_0002
node_13,load_balancer,mesh_svc_13,production,us-east-1,us-east-1a,host-522,ct-6311,v3.4.0,4.0,8.0,1,low,scen_000002,top_0002
node_14,object_storage,mesh_svc_14,production,us-east-1,us-east-1a,host-621,ct-2472,v2.2.0,4.0,4.0,5,high,scen_000002,top_0002
node_15,notification_service,mesh_svc_15,production,us-east-1,us-east-1b,host-494,ct-6066,v1.2.0,2.0,4.0,2,critical,scen_000002,top_0002
node_16,object_storage,mesh_svc_16,production,us-east-1,us-east-1c,host-166,ct-6547,v2.2.0,2.0,8.0,3,critical,scen_000002,top_0002
node_17,postgresql,mesh_svc_17,production,us-east-1,us-east-1b,host-967,ct-8193,v3.7.0,16.0,16.0,4,low,scen_000002,top_0002
node_18,object_storage,mesh_svc_18,production,us-east-1,us-east-1c,host-144,ct-5861,v3.4.0,16.0,16.0,3,medium,scen_000002,top_0002
node_19,rabbitmq,mesh_svc_19,production,us-east-1,us-east-1c,host-567,ct-9136,v3.8.0,4.0,64.0,3,low,scen_000002,top_0002
node_20,api_gateway,mesh_svc_20,production,us-east-1,us-east-1b,host-531,ct-6475,v2.3.0,2.0,16.0,1,medium,scen_000002,top_0002
node_21,payment_service,mesh_svc_21,production,us-east-1,us-east-1b,host-127,ct-1714,v1.9.0,4.0,8.0,3,medium,scen_000002,top_0002
node_22,user_service,mesh_svc_22,production,us-east-1,us-east-1b,host-441,ct-5388,v2.6.0,16.0,64.0,5,low,scen_000002,top_0002
node_23,recommendation_service,mesh_svc_23,production,us-east-1,us-east-1c,host-403,ct-9747,v3.9.0,16.0,4.0,5,critical,scen_000002,top_0002
node_24,rabbitmq,mesh_svc_24,production,us-east-1,us-east-1a,host-200,ct-9621,v3.4.0,4.0,16.0,2,low,scen_000002,top_0002
node_25,k8s_node,mesh_svc_25,production,us-east-1,us-east-1a,host-926,ct-1841,v1.4.0,4.0,64.0,2,medium,scen_000002,top_0002
node_26,payment_service,mesh_svc_26,production,us-east-1,us-east-1a,host-705,ct-8016,v2.8.0,16.0,32.0,1,critical,scen_000002,top_0002
node_27,api_gateway,mesh_svc_27,production,us-east-1,us-east-1a,host-835,ct-8077,v3.6.0,2.0,32.0,2,high,scen_000002,top_0002
node_28,inventory_service,mesh_svc_28,production,us-east-1,us-east-1a,host-456,ct-5432,v2.8.0,16.0,64.0,3,medium,scen_000002,top_0002
node_29,web_service,mesh_svc_29,production,us-east-1,us-east-1c,host-534,ct-2855,v1.9.0,4.0,8.0,3,low,scen_000002,top_0002
node_30,inventory_service,mesh_svc_30,production,us-east-1,us-east-1a,host-861,ct-4124,v1.6.0,8.0,4.0,2,medium,scen_000002,top_0002
node_31,postgresql,mesh_svc_31,production,us-east-1,us-east-1c,host-517,ct-8611,v1.8.0,16.0,16.0,4,high,scen_000002,top_0002
node_32,mysql,mesh_svc_32,production,us-east-1,us-east-1a,host-426,ct-5434,v2.2.0,4.0,8.0,1,low,scen_000002,top_0002
node_00,notification_service,mesh_svc_0,production,eu-central-1,eu-central-1a,host-533,ct-7182,v1.0.0,2.0,4.0,1,critical,scen_000003,top_0003
node_01,api_gateway,mesh_svc_1,production,eu-central-1,eu-central-1b,host-163,ct-3660,v3.2.0,4.0,8.0,1,critical,scen_000003,top_0003
node_02,order_service,mesh_svc_2,production,eu-central-1,eu-central-1c,host-845,ct-3966,v3.7.0,2.0,16.0,5,high,scen_000003,top_0003
node_03,user_service,mesh_svc_3,production,eu-central-1,eu-central-1c,host-350,ct-3865,v2.0.0,4.0,4.0,5,medium,scen_000003,top_0003
node_04,load_balancer,mesh_svc_4,production,eu-central-1,eu-central-1c,host-369,ct-6592,v2.8.0,2.0,32.0,2,critical,scen_000003,top_0003
node_05,vm_instance,mesh_svc_5,production,eu-central-1,eu-central-1b,host-344,ct-1536,v3.4.0,8.0,8.0,5,medium,scen_000003,top_0003
node_06,redis,mesh_svc_6,production,eu-central-1,eu-central-1c,host-345,ct-9873,v2.2.0,8.0,32.0,5,medium,scen_000003,top_0003
node_07,elasticsearch,mesh_svc_7,production,eu-central-1,eu-central-1a,host-377,ct-4889,v3.5.0,2.0,64.0,3,critical,scen_000003,top_0003
node_08,order_service,mesh_svc_8,production,eu-central-1,eu-central-1c,host-203,ct-7323,v2.5.0,16.0,4.0,4,low,scen_000003,top_0003
node_09,user_service,mesh_svc_9,production,eu-central-1,eu-central-1c,host-619,ct-6651,v1.1.0,8.0,8.0,1,low,scen_000003,top_0003
node_10,load_balancer,mesh_svc_10,production,eu-central-1,eu-central-1a,host-528,ct-5048,v1.3.0,16.0,64.0,5,low,scen_000003,top_0003
node_11,web_service,mesh_svc_11,production,eu-central-1,eu-central-1c,host-835,ct-1376,v2.6.0,16.0,4.0,1,low,scen_000003,top_0003
node_12,mongodb,mesh_svc_12,production,eu-central-1,eu-central-1b,host-869,ct-4036,v2.0.0,16.0,4.0,1,low,scen_000003,top_0003
node_13,k8s_node,mesh_svc_13,production,eu-central-1,eu-central-1a,host-594,ct-4365,v1.8.0,16.0,32.0,4,low,scen_000003,top_0003
node_14,web_service,mesh_svc_14,production,eu-central-1,eu-central-1a,host-661,ct-1162,v3.0.0,8.0,16.0,4,medium,scen_000003,top_0003
node_15,mysql,mesh_svc_15,production,eu-central-1,eu-central-1a,host-606,ct-4625,v2.4.0,8.0,4.0,5,high,scen_000003,top_0003
node_16,container,mesh_svc_16,production,eu-central-1,eu-central-1c,host-311,ct-4955,v2.9.0,8.0,32.0,5,medium,scen_000003,top_0003
node_17,recommendation_service,mesh_svc_17,production,eu-central-1,eu-central-1b,host-869,ct-9520,v2.7.0,8.0,16.0,2,medium,scen_000003,top_0003
node_18,load_balancer,mesh_svc_18,production,eu-central-1,eu-central-1c,host-699,ct-3981,v2.5.0,4.0,8.0,1,high,scen_000003,top_0003
node_19,rabbitmq,mesh_svc_19,production,eu-central-1,eu-central-1b,host-293,ct-5646,v1.7.0,8.0,32.0,1,low,scen_000003,top_0003
node_20,k8s_node,mesh_svc_20,production,eu-central-1,eu-central-1c,host-681,ct-8858,v1.4.0,16.0,8.0,3,low,scen_000003,top_0003
node_21,object_storage,mesh_svc_21,production,eu-central-1,eu-central-1a,host-842,ct-2347,v1.8.0,2.0,64.0,1,low,scen_000003,top_0003
node_22,vm_instance,mesh_svc_22,production,eu-central-1,eu-central-1a,host-384,ct-4123,v1.1.0,16.0,8.0,5,low,scen_000003,top_0003
node_23,rabbitmq,mesh_svc_23,production,eu-central-1,eu-central-1c,host-862,ct-2446,v2.2.0,4.0,16.0,4,medium,scen_000003,top_0003
node_24,order_service,mesh_svc_24,production,eu-central-1,eu-central-1a,host-859,ct-2775,v2.2.0,8.0,8.0,3,medium,scen_000003,top_0003
node_25,vm_instance,mesh_svc_25,production,eu-central-1,eu-central-1b,host-757,ct-9009,v2.9.0,16.0,4.0,5,critical,scen_000003,top_0003
node_26,recommendation_service,mesh_svc_26,production,eu-central-1,eu-central-1b,host-448,ct-8816,v3.9.0,4.0,32.0,2,low,scen_000003,top_0003
gw_01,api_gateway,api_gateway,production,ap-southeast-1,ap-southeast-1b,host-329,ct-2510,v2.9.0,4.0,4.0,1,critical,scen_000004,top_0004
rec_01,recommendation_service,recommendation_service,production,ap-southeast-1,ap-southeast-1a,host-852,ct-2730,v3.0.0,4.0,4.0,5,high,scen_000004,top_0004
es_01,elasticsearch,elasticsearch,production,ap-southeast-1,ap-southeast-1c,host-138,ct-5655,v2.3.0,16.0,4.0,3,critical,scen_000004,top_0004
redis_01,redis,redis,production,ap-southeast-1,ap-southeast-1c,host-997,ct-9161,v2.1.0,4.0,64.0,2,critical,scen_000004,top_0004
mongo_01,mongodb,mongodb,production,ap-southeast-1,ap-southeast-1b,host-193,ct-9629,v1.7.0,2.0,8.0,1,high,scen_000004,top_0004
search_node_1,user_service,search_aux_1,production,ap-southeast-1,ap-southeast-1a,host-444,ct-8265,v3.7.0,4.0,8.0,1,medium,scen_000004,top_0004
search_node_2,user_service,search_aux_2,production,ap-southeast-1,ap-southeast-1b,host-785,ct-4613,v2.8.0,4.0,16.0,5,medium,scen_000004,top_0004
search_node_3,user_service,search_aux_3,production,ap-southeast-1,ap-southeast-1b,host-396,ct-6198,v1.7.0,4.0,8.0,4,medium,scen_000004,top_0004
search_node_4,user_service,search_aux_4,production,ap-southeast-1,ap-southeast-1b,host-533,ct-8859,v1.2.0,4.0,16.0,4,medium,scen_000004,top_0004
search_node_5,user_service,search_aux_5,production,ap-southeast-1,ap-southeast-1c,host-307,ct-8962,v3.0.0,8.0,32.0,1,medium,scen_000004,top_0004
search_node_6,user_service,search_aux_6,production,ap-southeast-1,ap-southeast-1b,host-404,ct-3963,v3.9.0,4.0,64.0,4,medium,scen_000004,top_0004
search_node_7,user_service,search_aux_7,production,ap-southeast-1,ap-southeast-1c,host-666,ct-2197,v2.3.0,16.0,64.0,2,medium,scen_000004,top_0004
search_node_8,user_service,search_aux_8,production,ap-southeast-1,ap-southeast-1c,host-760,ct-3307,v1.8.0,16.0,8.0,4,medium,scen_000004,top_0004
search_node_9,user_service,search_aux_9,production,ap-southeast-1,ap-southeast-1c,host-559,ct-6589,v3.0.0,8.0,8.0,2,medium,scen_000004,top_0004
search_node_10,user_service,search_aux_10,production,ap-southeast-1,ap-southeast-1a,host-641,ct-1919,v3.5.0,4.0,16.0,3,medium,scen_000004,top_0004
search_node_11,user_service,search_aux_11,production,ap-southeast-1,ap-southeast-1b,host-800,ct-5617,v1.4.0,16.0,16.0,5,medium,scen_000004,top_0004
search_node_12,user_service,search_aux_12,production,ap-southeast-1,ap-southeast-1c,host-927,ct-1149,v3.2.0,8.0,32.0,2,medium,scen_000004,top_0004
search_node_13,user_service,search_aux_13,production,ap-southeast-1,ap-southeast-1c,host-744,ct-8372,v1.0.0,16.0,4.0,1,medium,scen_000004,top_0004
search_node_14,user_service,search_aux_14,production,ap-southeast-1,ap-southeast-1c,host-280,ct-9529,v3.1.0,8.0,16.0,1,medium,scen_000004,top_0004
search_node_15,user_service,search_aux_15,production,ap-southeast-1,ap-southeast-1b,host-729,ct-5903,v1.5.0,2.0,16.0,5,medium,scen_000004,top_0004
search_node_16,user_service,search_aux_16,production,ap-southeast-1,ap-southeast-1a,host-460,ct-4669,v3.5.0,4.0,4.0,3,medium,scen_000004,top_0004
search_node_17,user_service,search_aux_17,production,ap-southeast-1,ap-southeast-1c,host-884,ct-5225,v3.2.0,16.0,4.0,5,medium,scen_000004,top_0004
search_node_18,user_service,search_aux_18,production,ap-southeast-1,ap-southeast-1b,host-910,ct-3351,v1.7.0,16.0,32.0,2,medium,scen_000004,top_0004
search_node_19,user_service,search_aux_19,production,ap-southeast-1,ap-southeast-1a,host-497,ct-4216,v3.0.0,4.0,4.0,2,medium,scen_000004,top_0004
search_node_20,user_service,search_aux_20,production,ap-southeast-1,ap-southeast-1b,host-926,ct-2832,v1.0.0,8.0,8.0,5,medium,scen_000004,top_0004
gw_01,api_gateway,api_gateway,production,ap-southeast-1,ap-southeast-1b,host-140,ct-1030,v3.3.0,16.0,16.0,3,critical,scen_000005,top_0005
rec_01,recommendation_service,recommendation_service,production,ap-southeast-1,ap-southeast-1c,host-305,ct-3349,v2.7.0,16.0,8.0,3,high,scen_000005,top_0005
es_01,elasticsearch,elasticsearch,production,ap-southeast-1,ap-southeast-1b,host-335,ct-3575,v3.1.0,4.0,64.0,4,critical,scen_000005,top_0005
redis_01,redis,redis,production,ap-southeast-1,ap-southeast-1b,host-947,ct-5328,v3.7.0,16.0,4.0,3,critical,scen_000005,top_0005
mongo_01,mongodb,mongodb,production,ap-southeast-1,ap-southeast-1c,host-418,ct-5163,v3.5.0,8.0,64.0,2,high,scen_000005,top_0005
search_node_1,user_service,search_aux_1,production,ap-southeast-1,ap-southeast-1b,host-407,ct-2693,v3.0.0,8.0,8.0,2,medium,scen_000005,top_0005
search_node_2,user_service,search_aux_2,production,ap-southeast-1,ap-southeast-1a,host-723,ct-9682,v3.8.0,16.0,16.0,1,medium,scen_000005,top_0005
search_node_3,user_service,search_aux_3,production,ap-southeast-1,ap-southeast-1c,host-460,ct-2395,v3.0.0,16.0,32.0,2,medium,scen_000005,top_0005
search_node_4,user_service,search_aux_4,production,ap-southeast-1,ap-southeast-1a,host-552,ct-6694,v2.2.0,2.0,32.0,4,medium,scen_000005,top_0005
search_node_5,user_service,search_aux_5,production,ap-southeast-1,ap-southeast-1b,host-996,ct-8388,v3.0.0,16.0,4.0,3,medium,scen_000005,top_0005
search_node_6,user_service,search_aux_6,production,ap-southeast-1,ap-southeast-1a,host-290,ct-2237,v3.0.0,4.0,64.0,3,medium,scen_000005,top_0005
search_node_7,user_service,search_aux_7,production,ap-southeast-1,ap-southeast-1c,host-530,ct-9237,v2.5.0,8.0,4.0,1,medium,scen_000005,top_0005
search_node_8,user_service,search_aux_8,production,ap-southeast-1,ap-southeast-1c,host-908,ct-3156,v3.1.0,4.0,16.0,2,medium,scen_000005,top_0005
search_node_9,user_service,search_aux_9,production,ap-southeast-1,ap-southeast-1a,host-941,ct-2621,v1.2.0,16.0,32.0,4,medium,scen_000005,top_0005
search_node_10,user_service,search_aux_10,production,ap-southeast-1,ap-southeast-1b,host-617,ct-4713,v1.7.0,2.0,8.0,3,medium,scen_000005,top_0005
search_node_11,user_service,search_aux_11,production,ap-southeast-1,ap-southeast-1c,host-289,ct-5948,v2.8.0,16.0,32.0,5,medium,scen_000005,top_0005
node_00,vm_instance,mesh_svc_0,production,ap-southeast-1,ap-southeast-1c,host-268,ct-7227,v2.8.0,8.0,8.0,5,low,scen_000006,top_0006
node_01,rabbitmq,mesh_svc_1,production,ap-southeast-1,ap-southeast-1b,host-907,ct-3402,v3.5.0,4.0,4.0,2,high,scen_000006,top_0006
node_02,web_service,mesh_svc_2,production,ap-southeast-1,ap-southeast-1c,host-920,ct-9142,v2.2.0,16.0,16.0,2,medium,scen_000006,top_0006
node_03,redis,mesh_svc_3,production,ap-southeast-1,ap-southeast-1c,host-860,ct-3104,v3.4.0,8.0,64.0,1,critical,scen_000006,top_0006
node_04,k8s_node,mesh_svc_4,production,ap-southeast-1,ap-southeast-1b,host-543,ct-3891,v1.4.0,16.0,4.0,2,medium,scen_000006,top_0006
node_05,order_service,mesh_svc_5,production,ap-southeast-1,ap-southeast-1b,host-512,ct-7131,v2.3.0,4.0,64.0,2,critical,scen_000006,top_0006
node_06,mongodb,mesh_svc_6,production,ap-southeast-1,ap-southeast-1b,host-417,ct-4545,v2.8.0,2.0,16.0,5,critical,scen_000006,top_0006
node_07,elasticsearch,mesh_svc_7,production,ap-southeast-1,ap-southeast-1c,host-228,ct-2991,v3.8.0,4.0,64.0,1,critical,scen_000006,top_0006
node_08,k8s_node,mesh_svc_8,production,ap-southeast-1,ap-southeast-1b,host-212,ct-1181,v2.4.0,16.0,8.0,3,high,scen_000006,top_0006
node_09,payment_service,mesh_svc_9,production,ap-southeast-1,ap-southeast-1a,host-478,ct-6013,v3.3.0,8.0,8.0,4,high,scen_000006,top_0006
node_10,recommendation_service,mesh_svc_10,production,ap-southeast-1,ap-southeast-1b,host-632,ct-3534,v1.2.0,8.0,4.0,4,critical,scen_000006,top_0006
node_11,load_balancer,mesh_svc_11,production,ap-southeast-1,ap-southeast-1c,host-726,ct-2876,v3.3.0,4.0,4.0,3,medium,scen_000006,top_0006
node_12,payment_service,mesh_svc_12,production,ap-southeast-1,ap-southeast-1c,host-125,ct-3274,v3.5.0,2.0,64.0,1,medium,scen_000006,top_0006
node_13,object_storage,mesh_svc_13,production,ap-southeast-1,ap-southeast-1a,host-948,ct-9294,v3.1.0,2.0,4.0,2,critical,scen_000006,top_0006
node_14,elasticsearch,mesh_svc_14,production,ap-southeast-1,ap-southeast-1c,host-335,ct-5437,v2.7.0,4.0,16.0,2,low,scen_000006,top_0006
node_15,user_service,mesh_svc_15,production,ap-southeast-1,ap-southeast-1b,host-555,ct-5719,v2.6.0,2.0,8.0,2,high,scen_000006,top_0006
node_16,recommendation_service,mesh_svc_16,production,ap-southeast-1,ap-southeast-1a,host-245,ct-8916,v2.9.0,4.0,64.0,5,critical,scen_000006,top_0006
node_17,notification_service,mesh_svc_17,production,ap-southeast-1,ap-southeast-1c,host-169,ct-8317,v3.0.0,2.0,16.0,3,medium,scen_000006,top_0006
node_18,container,mesh_svc_18,production,ap-southeast-1,ap-southeast-1b,host-156,ct-2988,v1.6.0,8.0,4.0,1,medium,scen_000006,top_0006
node_00,web_service,mesh_svc_0,production,us-east-1,us-east-1a,host-437,ct-7283,v1.4.0,8.0,32.0,3,critical,scen_000007,top_0007
node_01,api_gateway,mesh_svc_1,production,us-east-1,us-east-1b,host-582,ct-9573,v3.6.0,4.0,32.0,1,medium,scen_000007,top_0007
node_02,recommendation_service,mesh_svc_2,production,us-east-1,us-east-1c,host-779,ct-1666,v3.4.0,8.0,4.0,2,high,scen_000007,top_0007
node_03,user_service,mesh_svc_3,production,us-east-1,us-east-1a,host-711,ct-2314,v2.4.0,2.0,32.0,1,low,scen_000007,top_0007
node_04,container,mesh_svc_4,production,us-east-1,us-east-1b,host-983,ct-1375,v2.5.0,4.0,16.0,2,critical,scen_000007,top_0007
node_05,api_gateway,mesh_svc_5,production,us-east-1,us-east-1b,host-391,ct-8018,v3.6.0,8.0,4.0,4,high,scen_000007,top_0007
node_06,notification_service,mesh_svc_6,production,us-east-1,us-east-1a,host-986,ct-7599,v2.0.0,16.0,8.0,4,high,scen_000007,top_0007
node_07,redis,mesh_svc_7,production,us-east-1,us-east-1a,host-351,ct-2764,v1.0.0,4.0,32.0,2,low,scen_000007,top_0007
node_08,mysql,mesh_svc_8,production,us-east-1,us-east-1b,host-201,ct-2583,v2.3.0,16.0,4.0,4,medium,scen_000007,top_0007
node_09,elasticsearch,mesh_svc_9,production,us-east-1,us-east-1c,host-775,ct-2545,v1.2.0,2.0,64.0,2,low,scen_000007,top_0007
node_10,elasticsearch,mesh_svc_10,production,us-east-1,us-east-1b,host-854,ct-5811,v3.7.0,2.0,16.0,3,low,scen_000007,top_0007
node_11,api_gateway,mesh_svc_11,production,us-east-1,us-east-1a,host-847,ct-7792,v2.9.0,4.0,4.0,1,low,scen_000007,top_0007
node_12,redis,mesh_svc_12,production,us-east-1,us-east-1a,host-157,ct-1406,v1.2.0,4.0,8.0,3,critical,scen_000007,top_0007
node_13,postgresql,mesh_svc_13,production,us-east-1,us-east-1b,host-718,ct-8057,v3.2.0,16.0,64.0,4,medium,scen_000007,top_0007
node_14,api_gateway,mesh_svc_14,production,us-east-1,us-east-1a,host-732,ct-7676,v3.6.0,2.0,32.0,5,medium,scen_000007,top_0007
node_15,vm_instance,mesh_svc_15,production,us-east-1,us-east-1a,host-793,ct-4346,v1.4.0,2.0,16.0,1,critical,scen_000007,top_0007
node_16,recommendation_service,mesh_svc_16,production,us-east-1,us-east-1b,host-785,ct-9097,v3.7.0,8.0,8.0,5,low,scen_000007,top_0007
