scenario_id,incident_id,candidate_node_id,candidate_service,candidate_root_cause_type,temporal_score,severity_score,topology_score,metric_anomaly_score,log_evidence_score,trace_evidence_score,upstream_score,is_root_cause
scen_000001,inc_scen_000001_01,web_01,web_service,network_latency,0.54,0.44,0.44,0.55,0.62,0.22,0.3,0
scen_000001,inc_scen_000001_01,db_01,postgresql,cpu_saturation,0.4,0.41,0.57,0.31,0.31,0.11,0.35,0
scen_000001,inc_scen_000001_01,sub_svc_2,sub_service_2,cpu_saturation,0.83,0.64,0.52,0.62,0.07,0.14,0.14,0
scen_000001,inc_scen_000001_01,sub_svc_3,sub_service_3,cpu_saturation,0.77,0.85,0.17,0.7,0.65,0.39,0.48,0
scen_000001,inc_scen_000001_01,sub_svc_4,sub_service_4,network_latency,0.51,0.56,0.53,0.15,0.06,0.3,0.43,0
scen_000001,inc_scen_000001_01,sub_svc_5,sub_service_5,slow_query,0.59,0.6,0.14,0.42,0.38,0.1,0.32,0
scen_000001,inc_scen_000001_01,sub_svc_6,sub_service_6,slow_query,0.27,0.24,0.58,0.28,0.64,0.56,0.17,0
scen_000001,inc_scen_000001_01,sub_svc_7,sub_service_7,cpu_saturation,0.54,0.46,0.42,0.75,0.11,0.46,0.43,0
scen_000001,inc_scen_000001_01,sub_svc_8,sub_service_8,network_latency,0.41,0.13,0.21,0.25,0.43,0.41,0.36,0
scen_000001,inc_scen_000001_01,sub_svc_9,sub_service_9,network_latency,0.76,0.62,0.5,0.14,0.4,0.45,0.44,0
scen_000001,inc_scen_000001_01,sub_svc_10,sub_service_10,cpu_saturation,0.26,0.14,0.1,0.54,0.37,0.8,0.28,0
scen_000001,inc_scen_000001_01,sub_svc_11,sub_service_11,slow_query,0.63,0.65,0.4,0.77,0.3,0.55,0.31,0
scen_000001,inc_scen_000001_01,sub_svc_12,sub_service_12,slow_query,0.46,0.58,0.46,0.53,0.48,0.8,0.29,0
scen_000001,inc_scen_000001_01,sub_svc_13,sub_service_13,cpu_saturation,0.23,0.67,0.32,0.51,0.13,0.29,0.33,0
scen_000001,inc_scen_000001_01,sub_svc_14,sub_service_14,network_latency,0.28,0.39,0.5,0.24,0.48,0.8,0.24,0
scen_000001,inc_scen_000001_01,sub_svc_15,sub_service_15,network_latency,0.5,0.72,0.23,0.5,0.16,0.64,0.07,0
scen_000001,inc_scen_000001_01,sub_svc_16,sub_service_16,cpu_saturation,0.71,0.5,0.45,0.29,0.27,0.38,0.31,0
scen_000001,inc_scen_000001_01,sub_svc_17,sub_service_17,memory_exhaustion,0.86,0.91,0.85,0.7,0.91,0.91,0.95,1
scen_000001,inc_scen_000001_01,sub_svc_18,sub_service_18,cpu_saturation,0.42,0.73,0.52,0.59,0.13,0.22,0.07,0
scen_000001,inc_scen_000001_01,sub_svc_19,sub_service_19,network_latency,0.14,0.27,0.56,0.42,0.15,0.14,0.39,0
scen_000001,inc_scen_000001_01,sub_svc_20,sub_service_20,cpu_saturation,0.14,0.48,0.36,0.55,0.49,0.23,0.33,0
scen_000001,inc_scen_000001_01,sub_svc_21,sub_service_21,cpu_saturation,0.28,0.6,0.16,0.19,0.08,0.46,0.16,0
scen_000001,inc_scen_000001_01,sub_svc_22,sub_service_22,slow_query,0.53,0.39,0.4,0.47,0.37,0.61,0.07,0
scen_000001,inc_scen_000001_01,sub_svc_23,sub_service_23,cpu_saturation,0.84,0.53,0.19,0.64,0.35,0.43,0.43,0
scen_000001,inc_scen_000001_01,sub_svc_24,sub_service_24,slow_query,0.26,0.27,0.41,0.5,0.7,0.3,0.36,0
scen_000001,inc_scen_000001_01,sub_svc_25,sub_service_25,cpu_saturation,0.84,0.71,0.1,0.32,0.17,0.85,0.28,0
scen_000001,inc_scen_000001_01,sub_svc_26,sub_service_26,cpu_saturation,0.38,0.11,0.24,0.7,0.53,0.72,0.36,0
scen_000001,inc_scen_000001_01,sub_svc_27,sub_service_27,network_latency,0.72,0.23,0.15,0.6,0.15,0.74,0.31,0
scen_000001,inc_scen_000001_01,sub_svc_28,sub_service_28,slow_query,0.3,0.39,0.12,0.24,0.28,0.83,0.22,0
scen_000001,inc_scen_000001_01,sub_svc_29,sub_service_29,cpu_saturation,0.54,0.85,0.22,0.76,0.16,0.54,0.14,0
scen_000001,inc_scen_000001_01,sub_svc_30,sub_service_30,cpu_saturation,0.41,0.15,0.31,0.42,0.62,0.36,0.42,0
scen_000001,inc_scen_000001_01,sub_svc_31,sub_service_31,cpu_saturation,0.85,0.9,0.59,0.73,0.61,0.14,0.46,0
scen_000002,inc_scen_000002_01,node_00,mesh_svc_0,network_latency,0.54,0.68,0.6,0.35,0.27,0.26,0.08,0
scen_000002,inc_scen_000002_01,node_01,mesh_svc_1,network_latency,0.46,0.58,0.3,0.29,0.69,0.45,0.43,0
scen_000002,inc_scen_000002_01,node_02,mesh_svc_2,slow_query,0.46,0.64,0.28,0.27,0.57,0.85,0.44,0
scen_000002,inc_scen_000002_01,node_03,mesh_svc_3,slow_query,0.69,0.8,0.45,0.51,0.56,0.28,0.49,0
scen_000002,inc_scen_000002_01,node_04,mesh_svc_4,cpu_saturation,0.35,0.55,0.24,0.28,0.67,0.18,0.33,0
scen_000002,inc_scen_000002_01,node_05,mesh_svc_5,network_latency,0.82,0.33,0.25,0.62,0.47,0.82,0.11,0
scen_000002,inc_scen_000002_01,node_06,mesh_svc_6,cpu_saturation,0.14,0.46,0.54,0.39,0.58,0.41,0.25,0
scen_000002,inc_scen_000002_01,node_07,mesh_svc_7,network_latency,0.43,0.42,0.24,0.12,0.09,0.74,0.28,0
scen_000002,inc_scen_000002_01,node_08,mesh_svc_8,network_latency,0.24,0.29,0.29,0.57,0.15,0.72,0.11,0
scen_000002,inc_scen_000002_01,node_09,mesh_svc_9,cpu_saturation,0.64,0.32,0.59,0.58,0.28,0.55,0.14,0
scen_000002,inc_scen_000002_01,node_10,mesh_svc_10,network_latency,0.11,0.23,0.53,0.62,0.2,0.73,0.31,0
scen_000002,inc_scen_000002_01,node_11,mesh_svc_11,slow_query,0.64,0.4,0.14,0.17,0.57,0.3,0.18,0
scen_000002,inc_scen_000002_01,node_12,mesh_svc_12,cpu_saturation,0.14,0.23,0.46,0.15,0.34,0.37,0.25,0
scen_000002,inc_scen_000002_01,node_13,mesh_svc_13,cpu_saturation,0.14,0.47,0.1,0.41,0.14,0.64,0.14,0
scen_000002,inc_scen_000002_01,node_14,mesh_svc_14,cpu_saturation,0.72,0.21,0.33,0.56,0.29,0.7,0.33,0
scen_000002,inc_scen_000002_01,node_15,mesh_svc_15,network_latency,0.36,0.22,0.14,0.58,0.57,0.49,0.44,0
scen_000002,inc_scen_000002_01,node_16,mesh_svc_16,cpu_saturation,0.15,0.65,0.26,0.78,0.63,0.76,0.44,0
scen_000002,inc_scen_000002_01,node_17,mesh_svc_17,network_latency,0.83,0.14,0.23,0.54,0.2,0.67,0.38,0
scen_000002,inc_scen_000002_01,node_18,mesh_svc_18,slow_query,0.22,0.75,0.39,0.53,0.59,0.4,0.15,0
scen_000002,inc_scen_000002_01,node_19,mesh_svc_19,cpu_saturation,0.55,0.74,0.51,0.11,0.09,0.55,0.09,0
scen_000002,inc_scen_000002_01,node_20,mesh_svc_20,cpu_saturation,0.22,0.7,0.48,0.54,0.1,0.52,0.33,0
scen_000002,inc_scen_000002_01,node_21,mesh_svc_21,cpu_saturation,0.4,0.43,0.28,0.55,0.51,0.2,0.16,0
scen_000002,inc_scen_000002_01,node_22,mesh_svc_22,slow_query,0.74,0.19,0.34,0.68,0.3,0.59,0.23,0
scen_000002,inc_scen_000002_01,node_23,mesh_svc_23,cpu_saturation,0.58,0.6,0.51,0.49,0.22,0.77,0.11,0
scen_000002,inc_scen_000002_01,node_24,mesh_svc_24,slow_query,0.34,0.73,0.45,0.58,0.61,0.81,0.49,0
scen_000002,inc_scen_000002_01,node_25,mesh_svc_25,network_latency,0.74,0.38,0.17,0.71,0.5,0.74,0.15,0
scen_000002,inc_scen_000002_01,node_26,mesh_svc_26,slow_query,0.42,0.84,0.15,0.78,0.31,0.25,0.06,0
scen_000002,inc_scen_000002_01,node_27,mesh_svc_27,cpu_saturation,0.42,0.45,0.38,0.34,0.08,0.45,0.13,0
scen_000002,inc_scen_000002_01,node_28,mesh_svc_28,slow_query,0.6,0.32,0.14,0.61,0.54,0.11,0.32,0
scen_000002,inc_scen_000002_01,node_29,mesh_svc_29,cpu_saturation,0.38,0.65,0.1,0.3,0.18,0.63,0.21,0
scen_000002,inc_scen_000002_01,node_30,mesh_svc_30,slow_query,0.84,0.58,0.49,0.22,0.52,0.13,0.06,0
scen_000002,inc_scen_000002_01,node_31,mesh_svc_31,network_latency,0.88,0.93,0.81,0.89,0.79,0.76,0.94,1
scen_000002,inc_scen_000002_01,node_32,mesh_svc_32,network_latency,0.4,0.23,0.56,0.36,0.22,0.79,0.35,0
scen_000003,inc_scen_000003_01,node_00,mesh_svc_0,cpu_saturation,0.64,0.86,0.18,0.36,0.42,0.54,0.06,0
scen_000003,inc_scen_000003_01,node_01,mesh_svc_1,cpu_saturation,0.65,0.57,0.15,0.29,0.47,0.19,0.11,0
scen_000003,inc_scen_000003_01,node_02,mesh_svc_2,kubernetes_node_failure,0.88,0.88,0.93,0.78,0.68,0.85,0.93,1
scen_000003,inc_scen_000003_01,node_03,mesh_svc_3,cpu_saturation,0.81,0.18,0.35,0.1,0.26,0.17,0.31,0
scen_000003,inc_scen_000003_01,node_04,mesh_svc_4,cpu_saturation,0.47,0.65,0.17,0.79,0.26,0.65,0.32,0
scen_000003,inc_scen_000003_01,node_05,mesh_svc_5,network_latency,0.56,0.88,0.33,0.76,0.11,0.64,0.35,0
scen_000003,inc_scen_000003_01,node_06,mesh_svc_6,slow_query,0.55,0.52,0.31,0.25,0.45,0.41,0.39,0
scen_000003,inc_scen_000003_01,node_07,mesh_svc_7,slow_query,0.67,0.72,0.52,0.16,0.54,0.69,0.47,0
scen_000003,inc_scen_000003_01,node_08,mesh_svc_8,network_latency,0.56,0.68,0.15,0.76,0.44,0.7,0.46,0
scen_000003,inc_scen_000003_01,node_09,mesh_svc_9,network_latency,0.26,0.69,0.57,0.24,0.59,0.21,0.44,0
scen_000003,inc_scen_000003_01,node_10,mesh_svc_10,cpu_saturation,0.27,0.66,0.34,0.31,0.13,0.8,0.09,0
scen_000003,inc_scen_000003_01,node_11,mesh_svc_11,slow_query,0.81,0.81,0.42,0.49,0.5,0.51,0.35,0
scen_000003,inc_scen_000003_01,node_12,mesh_svc_12,cpu_saturation,0.45,0.67,0.16,0.66,0.65,0.32,0.25,0
scen_000003,inc_scen_000003_01,node_13,mesh_svc_13,network_latency,0.71,0.51,0.23,0.3,0.43,0.71,0.26,0
scen_000003,inc_scen_000003_01,node_14,mesh_svc_14,network_latency,0.7,0.49,0.48,0.52,0.23,0.22,0.45,0
scen_000003,inc_scen_000003_01,node_15,mesh_svc_15,cpu_saturation,0.47,0.13,0.58,0.37,0.57,0.28,0.44,0
scen_000003,inc_scen_000003_01,node_16,mesh_svc_16,network_latency,0.78,0.52,0.37,0.49,0.18,0.7,0.14,0
scen_000003,inc_scen_000003_01,node_17,mesh_svc_17,cpu_saturation,0.14,0.75,0.29,0.18,0.68,0.34,0.26,0
scen_000003,inc_scen_000003_01,node_18,mesh_svc_18,cpu_saturation,0.7,0.51,0.26,0.29,0.18,0.46,0.43,0
scen_000003,inc_scen_000003_01,node_19,mesh_svc_19,cpu_saturation,0.16,0.43,0.35,0.33,0.46,0.24,0.26,0
scen_000003,inc_scen_000003_01,node_20,mesh_svc_20,network_latency,0.48,0.86,0.13,0.75,0.32,0.37,0.13,0
scen_000003,inc_scen_000003_01,node_21,mesh_svc_21,cpu_saturation,0.16,0.4,0.3,0.45,0.61,0.61,0.17,0
scen_000003,inc_scen_000003_01,node_22,mesh_svc_22,network_latency,0.45,0.57,0.4,0.34,0.26,0.62,0.38,0
scen_000003,inc_scen_000003_01,node_23,mesh_svc_23,slow_query,0.48,0.57,0.46,0.62,0.69,0.65,0.27,0
scen_000003,inc_scen_000003_01,node_24,mesh_svc_24,slow_query,0.14,0.49,0.37,0.73,0.5,0.54,0.19,0
scen_000003,inc_scen_000003_01,node_25,mesh_svc_25,network_latency,0.21,0.26,0.18,0.31,0.31,0.79,0.11,0
scen_000003,inc_scen_000003_01,node_26,mesh_svc_26,slow_query,0.19,0.59,0.57,0.37,0.57,0.56,0.1,0
scen_000004,inc_scen_000004_01,gw_01,api_gateway,slow_query,0.16,0.1,0.12,0.48,0.1,0.3,0.26,0
scen_000004,inc_scen_000004_01,rec_01,recommendation_service,network_latency,0.82,0.82,0.5,0.72,0.42,0.33,0.2,0
scen_000004,inc_scen_000004_01,es_01,elasticsearch,slow_query,0.43,0.29,0.16,0.29,0.16,0.8,0.09,0
scen_000004,inc_scen_000004_01,redis_01,redis,load_balancer_failure,0.87,0.8,0.88,0.78,0.73,0.85,0.89,1
scen_000004,inc_scen_000004_01,mongo_01,mongodb,slow_query,0.56,0.24,0.54,0.47,0.34,0.25,0.16,0
scen_000004,inc_scen_000004_01,search_node_1,search_aux_1,slow_query,0.52,0.64,0.35,0.53,0.36,0.24,0.29,0
scen_000004,inc_scen_000004_01,search_node_2,search_aux_2,slow_query,0.13,0.24,0.31,0.7,0.29,0.48,0.12,0
scen_000004,inc_scen_000004_01,search_node_3,search_aux_3,slow_query,0.24,0.5,0.2,0.36,0.53,0.5,0.35,0
scen_000004,inc_scen_000004_01,search_node_4,search_aux_4,slow_query,0.82,0.19,0.33,0.32,0.56,0.61,0.45,0
scen_000004,inc_scen_000004_01,search_node_5,search_aux_5,network_latency,0.4,0.29,0.25,0.24,0.53,0.42,0.39,0
scen_000004,inc_scen_000004_01,search_node_6,search_aux_6,slow_query,0.47,0.48,0.15,0.48,0.44,0.17,0.5,0
scen_000004,inc_scen_000004_01,search_node_7,search_aux_7,cpu_saturation,0.51,0.61,0.26,0.24,0.36,0.77,0.08,0
scen_000004,inc_scen_000004_01,search_node_8,search_aux_8,slow_query,0.6,0.63,0.35,0.71,0.7,0.68,0.3,0
scen_000004,inc_scen_000004_01,search_node_9,search_aux_9,network_latency,0.14,0.44,0.41,0.56,0.18,0.38,0.34,0
scen_000004,inc_scen_000004_01,search_node_10,search_aux_10,slow_query,0.37,0.32,0.55,0.71,0.6,0.84,0.14,0
scen_000004,inc_scen_000004_01,search_node_11,search_aux_11,cpu_saturation,0.33,0.19,0.59,0.33,0.42,0.31,0.12,0
scen_000004,inc_scen_000004_01,search_node_12,search_aux_12,slow_query,0.41,0.24,0.59,0.31,0.35,0.54,0.46,0
scen_000004,inc_scen_000004_01,search_node_13,search_aux_13,slow_query,0.41,0.87,0.24,0.13,0.53,0.64,0.47,0
scen_000004,inc_scen_000004_01,search_node_14,search_aux_14,network_latency,0.66,0.41,0.25,0.32,0.12,0.43,0.29,0
scen_000004,inc_scen_000004_01,search_node_15,search_aux_15,slow_query,0.35,0.78,0.13,0.23,0.6,0.16,0.09,0
scen_000004,inc_scen_000004_01,search_node_16,search_aux_16,cpu_saturation,0.38,0.89,0.47,0.37,0.07,0.13,0.11,0
scen_000004,inc_scen_000004_01,search_node_17,search_aux_17,slow_query,0.49,0.83,0.29,0.48,0.25,0.46,0.38,0
scen_000004,inc_scen_000004_01,search_node_18,search_aux_18,cpu_saturation,0.85,0.5,0.31,0.24,0.34,0.54,0.31,0
scen_000004,inc_scen_000004_01,search_node_19,search_aux_19,network_latency,0.13,0.51,0.39,0.28,0.55,0.22,0.3,0
scen_000004,inc_scen_000004_01,search_node_20,search_aux_20,slow_query,0.34,0.44,0.25,0.38,0.17,0.83,0.18,0
scen_000006,inc_scen_000006_01,node_00,mesh_svc_0,slow_query,0.32,0.4,0.24,0.6,0.22,0.61,0.28,0
scen_000006,inc_scen_000006_01,node_01,mesh_svc_1,slow_query,0.48,0.49,0.14,0.71,0.61,0.41,0.19,0
scen_000006,inc_scen_000006_01,node_02,mesh_svc_2,cpu_saturation,0.67,0.25,0.4,0.67,0.55,0.58,0.5,0
scen_000006,inc_scen_000006_01,node_03,mesh_svc_3,cpu_saturation,0.22,0.56,0.51,0.46,0.68,0.5,0.41,0
scen_000006,inc_scen_000006_01,node_04,mesh_svc_4,network_latency,0.3,0.88,0.36,0.56,0.1,0.72,0.42,0
scen_000006,inc_scen_000006_01,node_05,mesh_svc_5,slow_query,0.63,0.78,0.55,0.68,0.36,0.85,0.4,0
scen_000006,inc_scen_000006_01,node_06,mesh_svc_6,network_latency,0.48,0.62,0.51,0.28,0.27,0.53,0.18,0
scen_000006,inc_scen_000006_01,node_07,mesh_svc_7,network_latency,0.12,0.61,0.13,0.32,0.06,0.28,0.4,0
scen_000006,inc_scen_000006_01,node_08,mesh_svc_8,cpu_saturation,0.11,0.1,0.27,0.38,0.65,0.6,0.5,0
scen_000006,inc_scen_000006_01,node_09,mesh_svc_9,cpu_saturation,0.36,0.75,0.59,0.75,0.55,0.21,0.27,0
scen_000006,inc_scen_000006_01,node_10,mesh_svc_10,cpu_saturation,0.16,0.55,0.18,0.25,0.67,0.55,0.24,0
scen_000006,inc_scen_000006_01,node_11,mesh_svc_11,cpu_saturation,0.12,0.86,0.19,0.5,0.41,0.53,0.22,0
scen_000006,inc_scen_000006_01,node_12,mesh_svc_12,memory_leak,0.79,0.9,0.84,0.91,0.73,0.77,0.9,1
scen_000006,inc_scen_000006_01,node_13,mesh_svc_13,network_latency,0.51,0.19,0.4,0.18,0.65,0.25,0.07,0
scen_000006,inc_scen_000006_01,node_14,mesh_svc_14,network_latency,0.44,0.47,0.11,0.35,0.38,0.38,0.5,0
scen_000006,inc_scen_000006_01,node_15,mesh_svc_15,slow_query,0.12,0.2,0.25,0.3,0.09,0.27,0.17,0
scen_000006,inc_scen_000006_01,node_16,mesh_svc_16,slow_query,0.73,0.48,0.54,0.64,0.09,0.32,0.42,0
scen_000006,inc_scen_000006_01,node_17,mesh_svc_17,cpu_saturation,0.68,0.47,0.32,0.15,0.66,0.53,0.14,0
scen_000006,inc_scen_000006_01,node_18,mesh_svc_18,network_latency,0.55,0.72,0.43,0.34,0.37,0.54,0.34,0
scen_000006,inc_scen_000006_02,node_00,mesh_svc_0,slow_query,0.74,0.85,0.12,0.56,0.29,0.35,0.2,0
scen_000006,inc_scen_000006_02,node_01,mesh_svc_1,slow_query,0.23,0.45,0.59,0.59,0.55,0.41,0.44,0
scen_000006,inc_scen_000006_02,node_02,mesh_svc_2,slow_query,0.4,0.75,0.39,0.31,0.34,0.52,0.19,0
scen_000006,inc_scen_000006_02,node_03,mesh_svc_3,cpu_saturation,0.1,0.69,0.11,0.3,0.43,0.53,0.24,0
scen_000006,inc_scen_000006_02,node_04,mesh_svc_4,network_latency,0.25,0.81,0.33,0.56,0.37,0.54,0.24,0
scen_000006,inc_scen_000006_02,node_05,mesh_svc_5,cpu_saturation,0.74,0.83,0.24,0.15,0.22,0.34,0.31,0
scen_000006,inc_scen_000006_02,node_06,mesh_svc_6,cpu_saturation,0.44,0.12,0.17,0.3,0.59,0.5,0.17,0
scen_000006,inc_scen_000006_02,node_07,mesh_svc_7,cpu_saturation,0.27,0.24,0.2,0.56,0.37,0.8,0.49,0
scen_000006,inc_scen_000006_02,node_08,mesh_svc_8,slow_query,0.85,0.15,0.4,0.41,0.25,0.52,0.17,0
scen_000006,inc_scen_000006_02,node_09,mesh_svc_9,network_latency,0.82,0.56,0.18,0.54,0.35,0.58,0.42,0
scen_000006,inc_scen_000006_02,node_10,mesh_svc_10,cpu_saturation,0.41,0.51,0.53,0.6,0.39,0.23,0.19,0
scen_000006,inc_scen_000006_02,node_11,mesh_svc_11,slow_query,0.49,0.61,0.21,0.22,0.65,0.5,0.12,0
scen_000006,inc_scen_000006_02,node_12,mesh_svc_12,network_latency,0.36,0.24,0.44,0.66,0.54,0.59,0.41,0
scen_000006,inc_scen_000006_02,node_13,mesh_svc_13,slow_query,0.85,0.28,0.32,0.61,0.34,0.3,0.18,0
scen_000006,inc_scen_000006_02,node_14,mesh_svc_14,cpu_saturation,0.55,0.12,0.6,0.35,0.3,0.38,0.45,0
scen_000006,inc_scen_000006_02,node_15,mesh_svc_15,cpu_saturation,0.14,0.38,0.15,0.77,0.49,0.26,0.26,0
scen_000006,inc_scen_000006_02,node_16,mesh_svc_16,network_latency,0.52,0.82,0.24,0.17,0.45,0.15,0.32,0
scen_000006,inc_scen_000006_02,node_17,mesh_svc_17,configuration_error,0.84,0.73,0.82,0.76,0.72,0.88,0.96,1
scen_000006,inc_scen_000006_02,node_18,mesh_svc_18,cpu_saturation,0.21,0.22,0.42,0.59,0.19,0.59,0.14,0
scen_000008,inc_scen_000008_01,gw_01,api_gateway,slow_query,0.55,0.88,0.51,0.73,0.51,0.67,0.3,0
scen_000008,inc_scen_000008_01,auth_01,auth_service,slow_query,0.36,0.59,0.5,0.59,0.51,0.18,0.14,0
scen_000008,inc_scen_000008_01,order_01,order_service,slow_query,0.19,0.33,0.36,0.44,0.56,0.82,0.48,0
scen_000008,inc_scen_000008_01,pay_01,payment_service,cpu_saturation,0.49,0.83,0.4,0.2,0.62,0.17,0.3,0
scen_000008,inc_scen_000008_01,inv_01,inventory_service,slow_query,0.45,0.43,0.21,0.47,0.37,0.28,0.15,0
scen_000008,inc_scen_000008_01,db_master,postgresql,network_latency,0.62,0.41,0.45,0.5,0.56,0.23,0.27,0
scen_000008,inc_scen_000008_01,cache_01,redis,network_latency,0.23,0.82,0.26,0.47,0.34,0.78,0.32,0
scen_000008,inc_scen_000008_01,mq_01,kafka,network_latency,0.67,0.5,0.16,0.11,0.29,0.18,0.44,0
scen_000008,inc_scen_000008_01,ecom_aux_1,user_service_1,dependency_timeout,0.98,0.88,0.82,0.82,0.72,0.78,0.88,1
scen_000008,inc_scen_000008_01,ecom_aux_2,user_service_2,network_latency,0.43,0.61,0.43,0.63,0.53,0.49,0.31,0
scen_000008,inc_scen_000008_01,ecom_aux_3,user_service_3,slow_query,0.64,0.55,0.5,0.67,0.58,0.39,0.28,0
scen_000008,inc_scen_000008_01,ecom_aux_4,user_service_4,cpu_saturation,0.1,0.49,0.34,0.78,0.18,0.62,0.41,0
scen_000008,inc_scen_000008_01,ecom_aux_5,user_service_5,slow_query,0.69,0.9,0.39,0.42,0.17,0.76,0.14,0
scen_000008,inc_scen_000008_01,ecom_aux_6,user_service_6,slow_query,0.67,0.63,0.43,0.15,0.69,0.52,0.48,0
scen_000008,inc_scen_000008_01,ecom_aux_7,user_service_7,cpu_saturation,0.71,0.83,0.29,0.35,0.46,0.11,0.17,0
scen_000008,inc_scen_000008_01,ecom_aux_8,user_service_8,slow_query,0.31,0.25,0.23,0.75,0.15,0.13,0.36,0
scen_000008,inc_scen_000008_01,ecom_aux_9,user_service_9,cpu_saturation,0.51,0.15,0.29,0.16,0.67,0.13,0.47,0
scen_000008,inc_scen_000008_02,gw_01,api_gateway,network_latency,0.2,0.68,0.13,0.33,0.63,0.59,0.43,0
scen_000008,inc_scen_000008_02,auth_01,auth_service,network_latency,0.12,0.13,0.46,0.32,0.55,0.36,0.37,0
scen_000008,inc_scen_000008_02,order_01,order_service,network_latency,0.11,0.63,0.15,0.2,0.16,0.43,0.36,0
scen_000008,inc_scen_000008_02,pay_01,payment_service,slow_query,0.72,0.79,0.36,0.16,0.63,0.55,0.46,0
scen_000008,inc_scen_000008_02,inv_01,inventory_service,slow_query,0.56,0.18,0.11,0.11,0.61,0.38,0.17,0
scen_000008,inc_scen_000008_02,db_master,postgresql,network_latency,0.39,0.81,0.46,0.69,0.58,0.76,0.35,0
scen_000008,inc_scen_000008_02,cache_01,redis,cpu_saturation,0.58,0.61,0.21,0.27,0.06,0.28,0.19,0
scen_000008,inc_scen_000008_02,mq_01,kafka,slow_query,0.13,0.13,0.24,0.48,0.15,0.36,0.36,0
scen_000008,inc_scen_000008_02,ecom_aux_1,user_service_1,slow_query,0.81,0.45,0.44,0.63,0.68,0.11,0.34,0
scen_000008,inc_scen_000008_02,ecom_aux_2,user_service_2,network_latency,0.73,0.47,0.14,0.2,0.21,0.44,0.27,0
scen_000008,inc_scen_000008_02,ecom_aux_3,user_service_3,network_latency,0.62,0.53,0.13,0.33,0.58,0.67,0.22,0
scen_000008,inc_scen_000008_02,ecom_aux_4,user_service_4,slow_query,0.75,0.64,0.3,0.47,0.06,0.83,0.32,0
scen_000008,inc_scen_000008_02,ecom_aux_5,user_service_5,cpu_saturation,0.34,0.13,0.34,0.4,0.15,0.68,0.08,0
scen_000008,inc_scen_000008_02,ecom_aux_6,user_service_6,network_latency,0.3,0.47,0.46,0.15,0.16,0.63,0.16,0
scen_000008,inc_scen_000008_02,ecom_aux_7,user_service_7,database_connection_exhaustion,0.84,0.76,0.95,0.73,0.72,0.91,0.92,1
scen_000008,inc_scen_000008_02,ecom_aux_8,user_service_8,cpu_saturation,0.63,0.68,0.12,0.54,0.68,0.84,0.33,0
scen_000008,inc_scen_000008_02,ecom_aux_9,user_service_9,slow_query,0.45,0.21,0.11,0.19,0.14,0.11,0.43,0
